Seq,DateListed,年度,場館,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
48,2021/3/3,108,屏東縣來義鄉原住民文物館,1273,6483,10656,829,11043,611,731,1356,1919,5325,671,1003
49,2021/3/3,108,屏東縣獅子鄉文物陳列館,1681,530,928,745,1394,1070,1898,1418,631,1443,1379,1739
50,2021/3/3,108,臺東縣海端鄉布農族文化館,427,259,372,"2,627",692,598,593,802,516,605,1044,1012
51,2021/3/3,108,臺東縣成功鎮原住民文物館 ,272,250,230,202,160,230,580,322,230,144,528,369
52,2021/3/3,108,花蓮縣瑞穗鄉奇美原住民文物館,480,375,450,435,545,495,668,795,576,660,632,588
53,2021/3/3,108,花蓮縣萬榮鄉原住民文物館 ,158,92,415,423,287,157,965,686,752,3951,1071,515
54,2021/3/3,108,花蓮縣壽豐鄉原住民文物館,344,294,575,545,782,517,702,895,807,620,1265,1141
55,2021/3/3,108,花蓮縣吉安鄉阿美族文物館,482,371,402,882,962,1035,2732,1932,1121,1124,1306,2830
56,2021/3/3,108,台灣原住民族文化館（花蓮縣）,114,33,480,175,2182,2249,2287,1334,1185,739,2396,1307
57,2021/3/3,108,宜蘭縣大同鄉泰雅生活館,1446,1985,1889,"1,835",1507,1499,2268,1715,2091,1363,1291,1024
58,2021/3/3,108,宜蘭縣南澳鄉泰雅文化館,555,567,959,622,620,1205,1875,1268,1021,989,1171,502
59,2021/3/3,107,基隆市原住民文化會館,3651,3118,3142,"3,658",4362,6476,7474,7881,6974,5198,5299,5300
60,2021/3/3,107,臺北市政府原委員會凱達格蘭文化館,35058,32643,30995,"33,108",35527,32984,44969,54948,44236,40597,40311,40000
61,2021/3/3,107,新北市烏來泰雅民族博物館,27499,30632,21887,"27,368",28584,20739,23063,22544,27857,33420,21972,27010
62,2021/3/3,107,桃園市原住民文化會館,1775,650,4293,"7,343",7213,7665,10610,7571,8660,12183,12833,12852
63,2021/3/3,107,新竹縣五峰鄉賽夏族矮人祭場文物館,275,243,338,488,502,314,353,311,335,690,11656,600
64,2021/3/3,107,新竹縣尖石鄉原住民文化館,3975,2662,4669,"3,695",4063,3964,3825,4102,2561,2540,2321,2302
65,2021/3/3,107,苗栗縣賽夏族民俗文物館,1728,1892,2384,"3,471",3657,3031,3343,3204,2946,3053,2598,2000
66,2021/3/3,107,苗栗縣泰雅文物館,2712,3661,3205,"5,480",4204,3741,3181,3285,5066,5049,4142,6078
67,2021/3/3,107,臺中市原住民綜合服務中心,63,111,144,"1,035",618,2298,3772,5174,4350,3850,2959,5203
68,2021/3/3,107,彰化縣原住民生活館,1696,1671,1930,"1,965",2478,1951,2722,1913,1680,1919,1503,1552
69,2021/3/3,107,嘉義縣阿里山鄒族自然與文化中心,1833,1669,1562,"1,885",1068,1246,1658,1153,8789,1228,1354,1000
70,2021/3/3,107,臺南市原住民會館(札哈木）,592,581,2565,"1,920",2037,2909,7307,1721,1272,5722,7376,5903
71,2021/3/3,107,臺南市原住民文物館（Palihanbasan巴里和巴桑故事館）,1138,811,1222,"1,127",1669,1743,1747,1278,1228,1382,1211,976
72,2021/3/3,107,高雄市那瑪夏區原住民文物館,327,619,426,"2,065",1054,428,285,211,275,678,291,479
73,2021/3/3,107,高雄市桃源區原住民文物館,515,580,612,955,675,431,526,504,809,1189,1128,2000
74,2021/3/3,107,屏東縣原住民文化會館,1682,785,1258,"1,470",1681,1690,2089,2627,3358,2919,2697,2950
75,2021/3/3,107,屏東縣三地門鄉原住民文化館,951,1483,1444,667,858,788,1062,692,395,1282,2008,1600
76,2021/3/3,107,屏東縣霧台鄉魯凱族文物館,568,1246,1048,710,251,323,341,470,275,350,300,400
77,2021/3/3,107,屏東縣來義鄉原住民文物館,380,2070,704,704,704,266,274,530,260,2834,1608,1133
78,2021/3/3,107,屏東縣獅子鄉文物陳列館,403,613,596,590,678,1336,988,894,834,1136,1703,1452
79,2021/3/3,107,臺東縣海端鄉布農族文化館,496,262,496,605,609,538,120,,,,,4071
80,2021/3/3,107,臺東縣成功鎮原住民文物館 ,172,115,232,406,187,180,277,564,367,359,207,309
81,2021/3/3,107,花蓮縣瑞穗鄉奇美原住民文物館,480,432,503,603,530,521,683,440,542,404,627,403
82,2021/3/3,107,花蓮縣萬榮鄉原住民文物館 ,403,300,620,450,579,685,801,1003,700,1756,445,450
83,2021/3/3,107,花蓮縣壽豐鄉原住民文物館,376,302,1686,359,337,509,947,868,366,354,449,902
84,2021/3/3,107,花蓮縣吉安鄉阿美族文物館,672,275,882,873,923,1163,2353,1834,981,1532,1432,936
85,2021/3/3,107,台灣原住民族文化館（花蓮縣）,324,33,220,340,1383,1672,1896,1437,674,254,450,333
86,2021/3/3,107,宜蘭縣大同鄉泰雅生活館,1757,1469,1355,"1,875",1924,2314,2392,2485,1498,1925,1702,1950
87,2021/3/3,107,宜蘭縣南澳鄉泰雅文化館,381,312,496,765,904,1087,1507,1498,691,980,1016,600
